"기준일자","주식종목코드","주식종목명","원문제목명","원문분류명","기준일시","URL주소","원문내용","감성지표값","스코어분류명","우편번호"
"20200113",A004020,현대제철,stock,주식,"20200113082700",https://finance.naver.com/item/news_read.nhn?article_id=0004499134&office_id=009&code=004020&sm=title_entity_id.basic,"[Hot-Line] ""현대제철, 올해도 자동차강판 가격 인상 가능성 낮아""…목표가↓","3.0",긍정,"22525"
"20200113",A002320,한진,stock,주식,"20200113091000",https://finance.naver.com/item/news_read.nhn?article_id=0004272545&office_id=015&code=002320&sm=title_entity_id.basic,"'한진' 5% 이상 상승, 2019.3Q, 매출액 5,427억(+10.6%), 영업이익 258억(+122.8%)","0.15",긍정,"04532"
"20200113",A081660,휠라코리아,stock,주식,"20200113080000",https://finance.naver.com/item/news_read.nhn?article_id=0004356467&office_id=014&code=081660&sm=title_entity_id.basic,"휠라코리아, 구조조정 재고로 실적 부진-NH","5.0",긍정,"05340"
"20200113",A047040,대우건설,stock,주식,"20200113082300",https://finance.naver.com/item/news_read.nhn?article_id=0003679477&office_id=011&code=047040&sm=title_entity_id.basic,“대우건설 4분기 실적은 시장 기대치 밑돌 전망”,"5.0",긍정,"04548"
"20200113",A094860,코닉글로리,stock,주식,"20200113090600",https://finance.naver.com/item/news_read.nhn?article_id=0004272519&office_id=015&code=094860&sm=title_entity_id.basic,"'코닉글로리' 10% 이상 상승, 최근 3일간 외국인 대량 순매수","0.19",긍정,"06045"
"20200113",A004170,신세계,stock,주식,"20200113091200",https://finance.naver.com/item/news_read.nhn?article_id=0004356515&office_id=014&code=004170&sm=title_entity_id.basic,"신세계, 강남 센트럴시티 내 카페 운영할 청년 창업자 3기 공개 모집","2.0",긍정,"04530"
"20200113",A241790,오션브릿지,stock,주식,"20200113075200",https://finance.naver.com/item/news_read.nhn?article_id=0004338909&office_id=008&code=241790&sm=title_entity_id.basic,"""오션브릿지, 현저한 저평가 상태""-이베스트투자증권","5.0",긍정,"17502"
"20200113",A112610,씨에스윈드,stock,주식,"20200113075900",https://finance.naver.com/item/news_read.nhn?article_id=0004338911&office_id=008&code=112610&sm=title_entity_id.basic,"씨에스윈드, 차이잉원 대만총통 재선에 기업가치 상승-유진證","3.0",긍정,"31109"
"20200113",A271560,오리온,stock,주식,"20200113080800",https://finance.naver.com/item/news_read.nhn?article_id=0004604469&office_id=277&code=271560&sm=title_entity_id.basic,"오리온, ‘마켓오 네이처 오 그래놀라바’ 가격변동 없이 16.7% 증량","4.0",긍정,"04369"
"20200113",A271560,오리온,stock,주식,"20200113082100",https://finance.naver.com/item/news_read.nhn?article_id=0004553667&office_id=018&code=271560&sm=title_entity_id.basic,"오리온, '오!그래놀라바' 가격 인상 없이 16.7% 증량","2.0",긍정,"04369"
"20200113",A271560,오리온,stock,주식,"20200113082800",https://finance.naver.com/item/news_read.nhn?article_id=0001623276&office_id=016&code=271560&sm=title_entity_id.basic,"오리온, ‘마켓오 네이처 오!그래놀라바’ 16.7% 증량…가격 그대로","5.0",긍정,"04369"
"20200113",A096530,씨젠,stock,주식,"20200113090600",https://finance.naver.com/item/news_read.nhn?article_id=0004272520&office_id=015&code=096530&sm=title_entity_id.basic,"'씨젠' 52주 신고가 경신, 전일 외국인 대량 순매수","2.0",긍정,"05548"
"20200113",A043200,파루,stock,주식,"20200113090900",https://finance.naver.com/item/news_read.nhn?article_id=0004272541&office_id=015&code=043200&sm=title_entity_id.basic,"'파루' 10% 이상 상승, 2019.3Q, 매출액 127억(+21.7%), 영업이익 6억(흑자전환)","2.0",긍정,"57927"
"20200113",A005930,삼성전자,stock,주식,"20200113091100",https://finance.naver.com/item/news_read.nhn?article_id=0004499164&office_id=009&code=005930&sm=title_entity_id.basic,"삼성전자 CEO 3인, 준법실천 서약…""법과 원칙 준수""","1.0",긍정,"16677"
"20200113",A263750,펄어비스,stock,주식,"20200113063200",https://finance.naver.com/item/news_read.nhn?article_id=0004553628&office_id=018&code=263750&sm=title_entity_id.basic,[노기자의 인스턴트 3분리뷰](31)섀도우 아레나-펄어비스표 ‘갓겜’ 하나 더 추가요(영상),"4.0",긍정,"14055"
"20200113",A000810,삼성화재해상보험,stock,주식,"20200113075100",https://finance.naver.com/item/news_read.nhn?article_id=0004604464&office_id=277&code=000810&sm=title_entity_id.basic,"삼성화재, 인터넷 전용 유병력자 실손보험 출시",-2.0,부정,"06620"
"20200113",A000270,기아자동차,stock,주식,"20200113080100",https://finance.naver.com/item/news_read.nhn?article_id=0004338912&office_id=008&code=000270&sm=title_entity_id.basic,"기아차, 신차 라인업 확대-SK증권","5.0",긍정,"06797"
"20200113",A081660,휠라코리아,stock,주식,"20200113075600",https://finance.naver.com/item/news_read.nhn?article_id=0004338910&office_id=008&code=081660&sm=title_entity_id.basic,"휠라코리아, 미국 재고부담 '목표가↓' -NH투자증권","5.0",긍정,"05340"
"20200113",A122870,와이지엔터테인먼트,stock,주식,"20200113080800",https://finance.naver.com/item/news_read.nhn?article_id=0004553655&office_id=018&code=122870&sm=title_entity_id.basic,"YG엔터, 본업 집중에 올해 영업 정상화 가능…목표가↑-KTB","0.86",긍정,"04028"
"20200113",A272450,진에어,stock,주식,"20200113082200",https://finance.naver.com/item/news_read.nhn?article_id=0004553669&office_id=018&code=272450&sm=title_entity_id.basic,"진에어, 국토부와 대화 재개 제재 해소 발판…목표가↑-삼성","1.0",긍정,"07570"
"20200113",A018250,애경산업,stock,주식,"20200113081300",https://finance.naver.com/item/news_read.nhn?article_id=0004604471&office_id=277&code=018250&sm=title_entity_id.basic,"""살롱관리를 집에서""…애경산업, 앰플형 헤어트리트먼트 출시","4.0",긍정,"04051"
"20200113",A003580,넥스트사이언스,stock,주식,"20200113081700",https://finance.naver.com/item/news_read.nhn?article_id=0004553661&office_id=018&code=003580&sm=title_entity_id.basic,"동원 더반찬, 실시간 조리과정 보여주는 '더반찬 라이브' 운영","3.0",긍정,"26153"
"20200113",A033340,좋은사람들,stock,주식,"20200113083600",https://finance.naver.com/item/news_read.nhn?article_id=0004604482&office_id=277&code=033340&sm=title_entity_id.basic,"좋은사람들, '똑똑한 위생팬티' 누적판매 15만장","4.0",긍정,"04050"
"20200113",A002270,롯데푸드,stock,주식,"20200113082900",https://finance.naver.com/item/news_read.nhn?article_id=0004553679&office_id=018&code=002270&sm=title_entity_id.basic,"롯데푸드 ""빵빠레 먹고 디즈니랜드 가자""","3.0",긍정,"07209"
"20200113",A091810,티웨이항공,stock,주식,"20200113083200",https://finance.naver.com/item/news_read.nhn?article_id=0004356484&office_id=014&code=091810&sm=title_entity_id.basic,"""티웨이항공, 4분기 영업손실 277억원""-삼성증권",-1.0,부정,"07505"
"20200113",A071840,롯데하이마트,stock,주식,"20200113083400",https://finance.naver.com/item/news_read.nhn?article_id=0003679483&office_id=011&code=071840&sm=title_entity_id.basic,"""롯데하이마트, 4·4분기 실적 시장 예상치 큰 폭으로 밑돌 것""...목표주가↓",-5.0,부정,"06288"
"20200113",A069410,엔텔스,stock,주식,"20200113090700",https://finance.naver.com/item/news_read.nhn?article_id=0004272534&office_id=015&code=069410&sm=title_entity_id.basic,"'엔텔스' 상한가↑ 도달, 전일 외국인 대량 순매수","0.03",긍정,"06069"
"20200113",A052260,SK바이오랜드,stock,주식,"20200113091000",https://finance.naver.com/item/news_read.nhn?article_id=0004272547&office_id=015&code=052260&sm=title_entity_id.basic,"'SK바이오랜드' 52주 신고가 경신, 외국인 5일 연속 순매수(10.6만주)","0.58",긍정,"31257"
"20200113",A043150,바텍,stock,주식,"20200113090600",https://finance.naver.com/item/news_read.nhn?article_id=0004272524&office_id=015&code=043150&sm=title_entity_id.basic,"'바텍' 52주 신고가 경신, 외국인, 기관 각각 3일, 4일 연속 순매수","4.0",긍정,"18449"
"20200113",A032620,유비케어,stock,주식,"20200113090600",https://finance.naver.com/item/news_read.nhn?article_id=0004272529&office_id=015&code=032620&sm=title_entity_id.basic,"'유비케어' 10% 이상 상승, 전일 외국인 대량 순매수","0.16",긍정,"08377"
"20200113",A005930,삼성전자,stock,주식,"20200113060100",https://finance.naver.com/item/news_read.nhn?article_id=0004553610&office_id=018&code=005930&sm=title_entity_id.basic,[줌인]은마 96배 오를때 삼성전자 804배 뛰었다,"5.0",긍정,"16677"
"20200113",A007310,오뚜기,stock,주식,"20200113063100",https://finance.naver.com/item/news_read.nhn?article_id=0004553627&office_id=018&code=007310&sm=title_entity_id.basic,"식품업계, 0.2mm 오뚜기 만두에 긴장","5.0",긍정,"14060"
"20200113",A181710,엔에이치엔,stock,주식,"20200113073600",https://finance.naver.com/item/news_read.nhn?article_id=0004604456&office_id=277&code=181710&sm=title_entity_id.basic,"[클릭 e종목]""NHN, 보드게임 규제 완화·데이터 3법 통과 등 호재 전망""","5.0",긍정,"13487"
"20200113",A081660,휠라코리아,stock,주식,"20200113073800",https://finance.naver.com/item/news_read.nhn?article_id=0004553639&office_id=018&code=081660&sm=title_entity_id.basic,"휠라코리아, 구조조정 따른 재고에 4Q 부진 예상…목표가↓-NH","5.0",긍정,"05340"
"20200113",A027360,아주IB투자,stock,주식,"20200113080300",https://finance.naver.com/item/news_read.nhn?article_id=0004553649&office_id=018&code=027360&sm=title_entity_id.basic,[표]아주IB투자 등 코스닥 자사주 신청내역(13일),"1.0",긍정,"06141"
"20200113",A009240,한샘,stock,주식,"20200113080200",https://finance.naver.com/item/news_read.nhn?article_id=0004604467&office_id=277&code=009240&sm=title_entity_id.basic,"[클릭 e종목]""한샘, 시장 점유율 확대 등으로 올해 실적 턴어라운드""","5.0",긍정,"15418"
"20200113",A336370,두산솔루스,stock,주식,"20200113080500",https://finance.naver.com/item/news_read.nhn?article_id=0004553653&office_id=018&code=336370&sm=title_entity_id.basic,"두산솔루스, OLED에 전기차 모멘텀 돋보여…목표가↑","5.0",긍정,
"20200113",A138040,메리츠금융지주,stock,주식,"20200113080300",https://finance.naver.com/item/news_read.nhn?article_id=0004553650&office_id=018&code=138040&sm=title_entity_id.basic,[표]메리츠금융지주 등 코스피 자사주 신청내역(13일),"1.0",긍정,"06232"
"20200113",A018290,브이티지엠피,stock,주식,"20200113080800",https://finance.naver.com/item/news_read.nhn?article_id=0004499124&office_id=009&code=018290&sm=title_entity_id.basic,"[Hot-Line] ""브이티지엠피, 중국 한한령 해제 최대 수혜""","4.0",긍정,"10878"
"20200113",A003490,대한항공,stock,주식,"20200113080900",https://finance.naver.com/item/news_read.nhn?article_id=0004338916&office_id=008&code=003490&sm=title_entity_id.basic,"대한항공, 상반기 내 실적 회복 어려워-삼성","1.0",긍정,"07505"
"20200113",A089590,제주항공,stock,주식,"20200113080300",https://finance.naver.com/item/news_read.nhn?article_id=0004338914&office_id=008&code=089590&sm=title_entity_id.basic,"제주항공, 6년 만에 매출 역성장 전망-삼성증권",-2.0,부정,"63125"
"20200113",A018290,브이티지엠피,stock,주식,"20200113081700",https://finance.naver.com/item/news_read.nhn?article_id=0004553663&office_id=018&code=018290&sm=title_entity_id.basic,"브이티지엠피, 韓엔터사와 中업체 잇는 허브 역할 기대-현대차","5.0",긍정,"10878"
"20200113",A024110,기업은행,stock,주식,"20200113081100",https://finance.naver.com/item/news_read.nhn?article_id=0004272500&office_id=015&code=024110&sm=title_entity_id.basic,기업은행 노조 13일 대토론회…윤종원-노조 갈등 해결 돌파구 찾나,"1.0",긍정,"04541"
"20200113",A020560,아시아나항공,stock,주식,"20200113081100",https://finance.naver.com/item/news_read.nhn?article_id=0004553657&office_id=018&code=020560&sm=title_entity_id.basic,"HDC현산, 아시아나항공 실적 반영으로 변동성 확대…목표가↓-케이프","2.0",긍정,"07505"
"20200113",A145720,덴티움,stock,주식,"20200113081600",https://finance.naver.com/item/news_read.nhn?article_id=0004499127&office_id=009&code=145720&sm=title_entity_id.basic,"[Hot-Line] ""덴티움, 우려보다는 펀더멘털에 집중해야""","3.0",긍정,"06169"
"20200113",A005930,삼성전자,stock,주식,"20200113081700",https://finance.naver.com/item/news_read.nhn?article_id=0004553662&office_id=018&code=005930&sm=title_entity_id.basic,"삼성전자, 신고가 경신 이후..업종별 순환매 전망","1.0",긍정,"16677"
"20200113",A000880,한화,stock,주식,"20200113082700",https://finance.naver.com/item/news_read.nhn?article_id=0004553676&office_id=018&code=000880&sm=title_entity_id.basic,"롯데하이마트, 4분기 실적 기대 밑돌 것…목표가↓-한화",-3.0,부정,"04541"
"20200113",A071840,롯데하이마트,stock,주식,"20200113083900",https://finance.naver.com/item/news_read.nhn?article_id=0004499140&office_id=009&code=071840&sm=title_entity_id.basic,"[Hot-Line] ""롯데하이마트, 4분기 영업권 상각에 따른 적자 가능성""…목표가↓",-5.0,부정,"06288"
"20200113",A230240,에치에프알,stock,주식,"20200113085100",https://finance.naver.com/item/news_read.nhn?article_id=0004499151&office_id=009&code=230240&sm=title_entity_id.basic,"[Hot-Line] ""에치에프알, 엔텔스 인수로 긍정적 시너지 기대""","5.0",긍정,"07321"
"20200113",A034230,파라다이스,stock,주식,"20200113090600",https://finance.naver.com/item/news_read.nhn?article_id=0004272525&office_id=015&code=034230&sm=title_entity_id.basic,"'파라다이스' 52주 신고가 경신, 전일 기관 대량 순매수","4.0",긍정,"04617"
